MnO_XAS,PhotonEnergy
4.223015899349962e-05,638.0
0.00012379509916331854,638.05
0.00020612492754776455,638.0999999999999
0.00028148227711687144,638.1499999999999
0.0003417988942780922,638.1999999999998
0.00037900652543888086,638.2499999999998
0.0003851455628315503,638.2999999999997
0.00038220562318083055,638.3499999999997
0.0004627631450407374,638.3999999999996
0.0007223781261450939,638.4499999999996
0.0010336748103467416,638.4999999999995
0.001217763887507294,638.5499999999995
0.0013771521435002483,638.5999999999995
0.001617793526788991,638.6499999999994
0.0019991468259408767,638.6999999999994
0.0025133863920643214,638.7499999999993
0.002930566952197752,638.7999999999993
0.0031875051342927447,638.8499999999992
0.003493831599423555,638.8999999999992
0.003952955956179289,638.9499999999991
0.004456894077249672,638.9999999999991
0.0049482968274375825,639.049999999999
0.005425369381757202,639.099999999999
0.005841559829496775,639.149999999999
0.006110678633691299,639.1999999999989
0.006163954887187805,639.2499999999989
0.006034407528564183,639.2999999999988
0.005789534573741051,639.3499999999988
0.005496841746334589,639.3999999999987
0.005217459073999917,639.4499999999987
0.004997045722806364,639.4999999999986
0.004878988215145415,639.5499999999986
0.004907304212033076,639.5999999999985
0.005126629946510758,639.6499999999985
0.005581627582643095,639.6999999999985
0.006297443181894422,639.7499999999984
0.007144983207341256,639.7999999999984
0.007802292747906036,639.8499999999983
0.007703664696103431,639.8999999999983
0.007207474518071492,639.9499999999982
0.007691707186547942,639.9999999999982
0.010271706677729503,640.0499999999981
0.013088285831588076,640.0999999999981
0.015315459846234754,640.149999999998
0.017277655581346592,640.199999999998
0.018867147410346292,640.249999999998
0.019795580224905643,640.2999999999979
0.02003435729119022,640.3499999999979
0.019578650499930066,640.3999999999978
0.018218871050854978,640.4499999999978
0.01590649049256642,640.4999999999977
0.013843811434633393,640.5499999999977
0.012911042506306092,640.5999999999976
0.012556378160722867,640.6499999999976
0.01213040716389462,640.6999999999975
0.01152019044798743,640.7499999999975
0.010912595464185186,640.7999999999975
0.010423644745317236,640.8499999999974
0.010077027930552792,640.8999999999974
0.00981234281757296,640.9499999999973
0.009541005180693559,640.9999999999973
0.009222641810439691,641.0499999999972
0.008918720285778529,641.0999999999972
0.008700857613588443,641.1499999999971
0.008591236331874379,641.1999999999971
0.008569474618433662,641.249999999997
0.008613800136000266,641.299999999997
0.008702440547308165,641.349999999997
0.008812955305775302,641.3999999999969
0.008898361769933003,641.4499999999969
0.008880602184385177,641.4999999999968
0.008679625132333122,641.5499999999968
0.008302308465957222,641.5999999999967
0.008045616344640408,641.6499999999967
0.007982687823320487,641.6999999999966
0.007970819303448905,641.7499999999966
0.007862302854226469,641.7999999999965
0.0075928617928191925,641.8499999999965
0.007418213485508088,641.8999999999965
0.007238185737997903,641.9499999999964
0.006646168089050652,641.9999999999964
0.005561475654634411,642.0499999999963
0.005004244642453817,642.0999999999963
0.004885060546833861,642.1499999999962
0.00464954795447107,642.1999999999962
0.00410818160231715,642.2499999999961
0.003727124982950759,642.2999999999961
0.003576478024610963,642.349999999996
0.00342251232370197,642.399999999996
0.003185646576191414,642.449999999996
0.0029340937534038064,642.4999999999959
0.00273263894534341,642.5499999999959
0.0025921931757671027,642.5999999999958
0.0025037083186437792,642.6499999999958
0.0024580778215231767,642.6999999999957
0.002445899705501121,642.7499999999957
0.0024575840476982126,642.7999999999956
0.002483537909931937,642.8499999999956
0.002514168354019775,642.8999999999955
0.0025399957188123935,642.9499999999955
0.002557719918108228,642.9999999999955
0.002573280310163641,643.0499999999954
0.0025933727133793222,643.0999999999954
0.0026246929461559575,643.1499999999953
0.0026739367990994975,643.1999999999953
0.0027449292056980876,643.2499999999952
0.0028307375301139695,643.2999999999952
0.002921909874901438,643.3499999999951
0.0030089943426147877,643.3999999999951
0.003082539035808314,643.449999999995
0.0031334007288692134,643.499999999995
0.0031589341114652775,643.549999999995
0.003162674192792575,643.5999999999949
0.003148401084723189,643.6499999999949
0.003119894899129204,643.6999999999948
0.0030808163584679525,643.7499999999948
0.0030337019493454354,643.7999999999947
0.002980471125930773,643.8499999999947
0.0029230369865967565,643.8999999999946
0.002863312629716176,643.9499999999946
0.0028032110706907947,643.9999999999945
0.00274370421588556,644.0499999999945
0.0026824893565215694,644.0999999999945
0.0026165520083948563,644.1499999999944
0.0025428776873014525,644.1999999999944
0.002458451909037393,644.2499999999943
0.002360986517988525,644.2999999999943
0.00225515397261834,644.3499999999942
0.0021495008220697043,644.3999999999942
0.00205261538456426,644.4499999999941
0.001973009892707307,644.4999999999941
0.001912466650936039,644.549999999994
0.0018608540892814309,644.599999999994
0.0018068205163975642,644.649999999994
0.0017390142409385205,644.6999999999939
0.0016460977102582684,644.7499999999939
0.0015248555023350048,644.7999999999938
0.0013937855120533269,644.8499999999938
0.0012749754051622193,644.8999999999937
0.0011863507171990693,644.9499999999937
0.0011259783886034488,644.9999999999936
0.0010860092315720358,645.0499999999936
0.001058593051394062,645.0999999999935
0.0010358796533587577,645.1499999999935
0.0010104136633747058,645.1999999999935
0.0009802827047414378,645.2499999999934
0.0009476622596480875,645.2999999999934
0.0009148231171566805,645.3499999999933
0.000884036066329244,645.3999999999933
0.0008575506678435326,645.4499999999932
0.0008358508924924049,645.4999999999932
0.0008163559842373832,645.5499999999931
0.0007961790943555671,645.5999999999931
0.0007724333741240561,645.649999999993
0.0007422319748199498,645.699999999993
0.0007033115800582305,645.749999999993
0.0006561698402140111,645.7999999999929
0.0006020683425355672,645.8499999999929
0.0005422687011070451,645.8999999999928
0.00047803253001259195,645.9499999999928
0.00041070584513936185,645.9999999999927
