0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,PhotonEnergy (eV)
2.2433745033654125e-06,2.0417572783187664e-06,1.986336249702966e-06,1.9611631213002816e-06,1.9511143585604267e-06,1.9511492749000327e-06,1.956226451367462e-06,1.9613045155298574e-06,1.9714255189277814e-06,1.9815474848388378e-06,630.0
3.2994287573576797e-06,2.720409256440367e-06,2.4639721058087394e-06,2.331637802365184e-06,2.253611902058265e-06,2.2081298916279837e-06,2.17956519571193e-06,2.1595815995869382e-06,2.147709047616506e-06,2.1447447959050623e-06,630.04995
3.630468083427336e-06,3.224019572336744e-06,2.8844818160988028e-06,2.6759298785712727e-06,2.5467561466847587e-06,2.4592065714158105e-06,2.396598040731546e-06,2.3524346242589184e-06,2.3239317088487886e-06,2.3055010089417296e-06,630.0999
3.7001965267437543e-06,3.523278356599898e-06,3.2206238534698985e-06,2.9837491478338057e-06,2.812462071622215e-06,2.691608142261025e-06,2.605984439812791e-06,2.5456012979827833e-06,2.5003203942366145e-06,2.4651076157679236e-06,630.14985
3.7337187697567872e-06,3.6762188917312182e-06,3.463896391216628e-06,3.2353166352762946e-06,3.0557135856025626e-06,2.9165779425094823e-06,2.810259978460289e-06,2.7312477758627276e-06,2.6685579228333265e-06,2.6216140371724182e-06,630.1998
3.7673500867227234e-06,3.751829045550952e-06,3.6315511240324403e-06,3.4430714043904413e-06,3.264266901769916e-06,3.113282184848923e-06,2.996044661953037e-06,2.903205324028584e-06,2.829147146955515e-06,2.7727086570883118e-06,630.24975
3.8009317971210613e-06,3.795899779620339e-06,3.7402359173322156e-06,3.598820811407911e-06,3.437436051040385e-06,3.296285111652946e-06,3.170330544742658e-06,3.069570613665005e-06,2.9890137061674216e-06,2.918529851799991e-06,630.2997
3.83451701627662e-06,3.834837659758091e-06,3.809964012255536e-06,3.715846246388415e-06,3.582769980503044e-06,3.4500707381311107e-06,3.3271807907503383e-06,3.2230293416216573e-06,3.135500860299341e-06,3.0615238623121645e-06,630.34965
3.8681733785096126e-06,3.867835234712802e-06,3.860118443590432e-06,3.8071265442550773e-06,3.704741636118145e-06,3.5845104197428224e-06,3.470305151122652e-06,3.3643656910315427e-06,3.2728888742330574e-06,3.1955678254422575e-06,630.3996
3.901610987878656e-06,3.906711226588758e-06,3.901698148281977e-06,3.8713895940587155e-06,3.800650923378174e-06,3.699693698079647e-06,3.5937567464203175e-06,3.4928976083140466e-06,3.402225866207082e-06,3.3266434448313168e-06,630.44955
3.940810279082674e-06,3.939707289122605e-06,3.940123856819939e-06,3.9276221977187314e-06,3.8769537763374295e-06,3.7977716283757344e-06,3.7051324108010945e-06,3.612619097107679e-06,3.5255120521682504e-06,3.4444961120707324e-06,630.4995
3.975426044432189e-06,3.979575852563842e-06,3.979245895885535e-06,3.970513698877568e-06,3.938145021786859e-06,3.881831822512153e-06,3.803113559939708e-06,3.7187115544436605e-06,3.6345657205883665e-06,3.5549807715904507e-06,630.54945
4.012415181562237e-06,4.012460963903033e-06,4.017568092561397e-06,4.01257503375283e-06,3.997430093966304e-06,3.951967936153594e-06,3.886278634815025e-06,3.815597891778555e-06,3.734883638416035e-06,3.6643357312388132e-06,630.5994
4.050911269422635e-06,4.050958427084897e-06,4.0507181445110054e-06,4.055073412880574e-06,4.042701815003398e-06,4.010594446216425e-06,3.962109575961159e-06,3.89993058312034e-06,3.829052430532318e-06,3.762002523534106e-06,630.64935
